message_id,timestamp,sender,user_type,message,llm_sentiment,llm_topic,llm_bot_response,analysis_timestamp,provider_used,model_used,manual_sentiment,manual_topic,manual_bot_response,labeled_at,comment
22,2024-12-15T11:07:00,destek_2,support,200 kişilik çikolatalı pasta 800 TL. Özel tasarım istiyorsanız +200 TL.,Negatif,Pasta/Catering,Hayır,2025-08-07T21:52:07.277324,groq,llama3-8b-8192,Negatif,Pasta/Catering,Hayır,2025-08-08T14:18:59.962282,
23,2024-12-15T11:30:00,müşteri_6,customer,DJ hizmeti alabilir miyim? Müzik listesi nasıl oluyor?,Nötr,Müzik/DJ,Evet,2025-08-07T21:52:17.204649,groq,llama3-8b-8192,Nötr,Müzik/DJ,Evet,2025-08-08T14:19:00.224488,
24,2024-12-15T11:32:00,destek_1,support,DJ hizmetimiz var. Müzik listesini önceden görüşüp hazırlıyoruz. 6 saat 1200 TL.,Pozitif,Müzik/DJ,Hayır,2025-08-07T21:52:25.840789,groq,llama3-8b-8192,Pozitif,Müzik/DJ,Hayır,2025-08-08T14:19:00.492626,
25,2024-12-15T11:35:00,müşteri_6,customer,Ses sistemi de dahil mi?,Nötr,Düğün Organizasyonu,Hayır,2025-08-07T21:52:35.536891,groq,llama3-8b-8192,Nötr,Düğün Organizasyonu,Hayır,2025-08-08T14:19:00.732591,
26,2024-12-15T11:37:00,destek_1,support,"Evet, profesyonel ses sistemi ve ışık sistemi dahil.",Pozitif,Düğün Organizasyonu,Hayır,2025-08-07T21:52:45.599450,groq,llama3-8b-8192,Pozitif,Düğün Organizasyonu,Hayır,2025-08-08T14:19:01.027309,
27,2024-12-15T12:00:00,müşteri_7,customer,Davetiye tasarımı yaptırabilir miyim?,Nötr,Davetiye,Evet,2025-08-07T21:52:54.205944,groq,llama3-8b-8192,Nötr,Davetiye,Evet,2025-08-08T14:19:01.249762,
28,2024-12-15T12:02:00,destek_3,support,Tabii ki! Özel tasarım davetiyelerimiz var. Hangi tarzda istiyorsunuz?,Pozitif,Davetiye,Hayır,2025-08-07T21:53:04.036620,groq,llama3-8b-8192,Pozitif,Davetiye,Hayır,2025-08-08T14:19:01.448361,
29,2024-12-15T12:05:00,müşteri_7,customer,"Vintage tarzda, kraft kağıt üzerine olsun.",Pozitif,Davetiye,Evet,2025-08-07T21:53:12.845207,groq,llama3-8b-8192,Pozitif,Davetiye,Evet,2025-08-08T14:19:01.685634,
30,2024-12-15T12:07:00,destek_3,support,"Vintage kraft davetiyeler çok şık oluyor. 100 adet 300 TL, tasarım dahil.",Pozitif,Davetiye,Hayır,2025-08-07T21:53:22.442101,groq,llama3-8b-8192,Pozitif,Davetiye,Hayır,2025-08-08T14:19:01.894670,
31,2024-12-15T12:30:00,müşteri_8,customer,Nikah şekeri siparişi vermek istiyorum.,Pozitif,Nikah Şekeri,Evet,2025-08-07T21:53:31.787856,groq,llama3-8b-8192,Pozitif,Nikah Şekeri,Evet,2025-08-08T14:19:02.109354,
32,2024-12-15T12:32:00,destek_2,support,"Nikah şekerimiz çok lezzetli! Hangi çeşidi tercih edersiniz? Lokum, çikolata, badem şekeri?",Pozitif,Nikah Şekeri,Hayır,2025-08-07T21:53:42.418953,groq,llama3-8b-8192,Pozitif,Nikah Şekeri,Hayır,2025-08-08T14:19:02.336170,
33,2024-12-15T12:35:00,müşteri_8,customer,Karışık olsun. 200 kutu istiyorum.,Nötr,Davetiye,Hayır,2025-08-07T21:53:52.063240,groq,llama3-8b-8192,Nötr,Davetiye,Hayır,2025-08-08T14:19:02.562547,
34,2024-12-15T12:37:00,destek_2,support,200 kutu karışık nikah şekeri 600 TL. Özel ambalaj +100 TL.,Negatif,Nikah Şekeri,Hayır,2025-08-07T21:54:01.896544,groq,llama3-8b-8192,Negatif,Nikah Şekeri,Hayır,2025-08-08T14:19:02.779668,
35,2024-12-15T13:00:00,müşteri_9,customer,Düğün arabası kiralayabilir miyim?,Nötr,Düğün Arabası,Evet,2025-08-07T21:54:10.701522,groq,llama3-8b-8192,Nötr,Düğün Arabası,Evet,2025-08-08T14:19:03.002334,
36,2024-12-15T13:02:00,destek_1,support,Düğün arabası kiralama hizmetimiz var. Hangi model araba istiyorsunuz?,Nötr,Düğün Arabası,Hayır,2025-08-07T21:54:20.326719,groq,llama3-8b-8192,Nötr,Düğün Arabası,Hayır,2025-08-08T14:19:03.246005,
37,2024-12-15T13:05:00,müşteri_9,customer,Beyaz BMW veya Mercedes olsun.,Pozitif,Düğün Arabası,Hayır,2025-08-07T21:54:30.874606,groq,llama3-8b-8192,Pozitif,Düğün Arabası,Hayır,2025-08-08T14:19:03.469360,
38,2024-12-15T13:07:00,destek_1,support,"BMW 3.20i günlük 400 TL, Mercedes E-Class 500 TL. Süsleme dahil.",Pozitif,Fiyat Sorgusu,Hayır,2025-08-07T21:54:39.592516,groq,llama3-8b-8192,Pozitif,Fiyat Sorgusu,Hayır,2025-08-08T14:19:03.735154,
39,2024-12-15T13:30:00,müşteri_10,customer,Geç kaldınız randevuya! Çok memnun değilim.,Negatif,Şikayet,Hayır,2025-08-07T21:54:49.203567,groq,llama3-8b-8192,Negatif,Şikayet,Hayır,2025-08-08T14:19:03.964807,
40,2024-12-15T13:32:00,destek_3,support,"Çok özür dileriz! Trafikte kaldık. Hemen geliyoruz, lütfen bekleyin.",Nötr,Düğün Organizasyonu,Hayır,2025-08-07T21:54:58.805445,groq,llama3-8b-8192,Nötr,Düğün Organizasyonu,Hayır,2025-08-08T14:19:04.222381,
41,2024-12-15T13:35:00,müşteri_10,customer,Bu kadar gecikmek olmaz! Profesyonel değil.,Negatif,Düğün Organizasyonu,Evet,2025-08-07T21:55:08.660388,groq,llama3-8b-8192,Negatif,Düğün Organizasyonu,Evet,2025-08-08T14:19:04.502677,
42,2024-12-15T13:37:00,destek_3,support,"Haklısınız, özür dileriz. Bu durumu telafi etmek için %10 indirim uygulayacağız.",Pozitif,Düğün Organizasyonu,Hayır,2025-08-07T21:55:18.306397,groq,llama3-8b-8192,Pozitif,Düğün Organizasyonu,Hayır,2025-08-08T14:19:04.772321,
43,2024-12-15T14:00:00,müşteri_11,customer,"Hizmetiniz çok güzeldi, çok teşekkür ederim!",Pozitif,Düğün Organizasyonu,Evet,2025-08-07T21:55:27.892143,groq,llama3-8b-8192,Pozitif,Düğün Organizasyonu,Evet,2025-08-08T14:19:05.032271,
44,2024-12-15T14:02:00,destek_1,support,Çok teşekkür ederiz! Memnuniyetiniz bizim için en önemli şey.,Pozitif,Düğün Organizasyonu,Hayır,2025-08-07T21:55:36.713410,groq,llama3-8b-8192,Pozitif,Düğün Organizasyonu,Hayır,2025-08-08T14:19:05.256398,
45,2024-12-15T14:05:00,müşteri_11,customer,Kesinlikle tavsiye edeceğim arkadaşlarıma!,Pozitif,Düğün Organizasyonu,Evet,2025-08-07T21:55:46.298522,groq,llama3-8b-8192,Pozitif,Düğün Organizasyonu,Evet,2025-08-08T14:19:09.509781,
