message_id,timestamp,sender,user_type,message,llm_sentiment,llm_topic,llm_bot_response,analysis_timestamp,provider_used,model_used
21,2024-12-15T11:05:00,müşteri_5,customer,"200 kişilik, çikolatalı olsun. Fiyatı ne kadar?",Nötr,Fiyat Sorgusu,Evet,2025-08-15T20:48:16.098206,openai,gpt-4o
22,2024-12-15T11:07:00,destek_2,support,200 kişilik çikolatalı pasta 800 TL. Özel tasarım istiyorsanız +200 TL.,Nötr,Genel Bilgi,Evet,2025-08-15T20:48:43.869710,openai,gpt-4o
23,2024-12-15T11:30:00,müşteri_6,customer,DJ hizmeti alabilir miyim? Müzik listesi nasıl oluyor?,Nötr,Genel Bilgi,Evet,2025-08-15T20:49:11.538279,openai,gpt-4o
24,2024-12-15T11:32:00,destek_1,support,DJ hizmetimiz var. Müzik listesini önceden görüşüp hazırlıyoruz. 6 saat 1200 TL.,Nötr,Rezervasyon,Evet,2025-08-15T20:49:39.112879,openai,gpt-4o
25,2024-12-15T11:35:00,müşteri_6,customer,Ses sistemi de dahil mi?,Nötr,Genel Bilgi,Evet,2025-08-15T20:50:06.437988,openai,gpt-4o
26,2024-12-15T11:37:00,destek_1,support,"Evet, profesyonel ses sistemi ve ışık sistemi dahil.",Nötr,Genel Bilgi,Evet,2025-08-15T20:50:34.340283,openai,gpt-4o
27,2024-12-15T12:00:00,müşteri_7,customer,Davetiye tasarımı yaptırabilir miyim?,Nötr,Genel Bilgi,Evet,2025-08-15T20:51:02.587762,openai,gpt-4o
28,2024-12-15T12:02:00,destek_3,support,Tabii ki! Özel tasarım davetiyelerimiz var. Hangi tarzda istiyorsunuz?,Nötr,Genel Bilgi,Evet,2025-08-15T20:51:30.143064,openai,gpt-4o
29,2024-12-15T12:05:00,müşteri_7,customer,"Vintage tarzda, kraft kağıt üzerine olsun.",Nötr,Genel Bilgi,Evet,2025-08-15T20:52:07.000867,openai,gpt-4o
30,2024-12-15T12:07:00,destek_3,support,"Vintage kraft davetiyeler çok şık oluyor. 100 adet 300 TL, tasarım dahil.",Nötr,Genel Bilgi,Evet,2025-08-15T20:52:34.570198,openai,gpt-4o
31,2024-12-15T12:30:00,müşteri_8,customer,Nikah şekeri siparişi vermek istiyorum.,Nötr,Genel Bilgi,Evet,2025-08-15T20:53:02.199088,openai,gpt-4o
32,2024-12-15T12:32:00,destek_2,support,"Nikah şekerimiz çok lezzetli! Hangi çeşidi tercih edersiniz? Lokum, çikolata, badem şekeri?",Nötr,Genel Bilgi,Evet,2025-08-15T20:53:30.717027,openai,gpt-4o
33,2024-12-15T12:35:00,müşteri_8,customer,Karışık olsun. 200 kutu istiyorum.,Nötr,Genel Bilgi,Evet,2025-08-15T20:54:00.127907,openai,gpt-4o
34,2024-12-15T12:37:00,destek_2,support,200 kutu karışık nikah şekeri 600 TL. Özel ambalaj +100 TL.,Nötr,Genel Bilgi,Evet,2025-08-15T20:54:28.150166,openai,gpt-4o
35,2024-12-15T13:00:00,müşteri_9,customer,Düğün arabası kiralayabilir miyim?,Nötr,Genel Bilgi,Evet,2025-08-15T20:54:59.248184,openai,gpt-4o
36,2024-12-15T13:02:00,destek_1,support,Düğün arabası kiralama hizmetimiz var. Hangi model araba istiyorsunuz?,Nötr,Genel Bilgi,Evet,2025-08-15T20:55:27.976886,openai,gpt-4o
37,2024-12-15T13:05:00,müşteri_9,customer,Beyaz BMW veya Mercedes olsun.,Nötr,Genel Bilgi,Evet,2025-08-15T20:55:56.125487,openai,gpt-4o
38,2024-12-15T13:07:00,destek_1,support,"BMW 3.20i günlük 400 TL, Mercedes E-Class 500 TL. Süsleme dahil.",Nötr,Genel Bilgi,Evet,2025-08-15T20:56:23.858559,openai,gpt-4o
39,2024-12-15T13:30:00,müşteri_10,customer,Geç kaldınız randevuya! Çok memnun değilim.,Negatif,Rezervasyon,Evet,2025-08-15T20:56:51.328574,openai,gpt-4o
40,2024-12-15T13:32:00,destek_3,support,"Çok özür dileriz! Trafikte kaldık. Hemen geliyoruz, lütfen bekleyin.",Nötr,Genel Bilgi,Evet,2025-08-15T20:57:19.877115,openai,gpt-4o
41,2024-12-15T13:35:00,müşteri_10,customer,Bu kadar gecikmek olmaz! Profesyonel değil.,Nötr,Genel Bilgi,Evet,2025-08-15T20:57:47.966227,openai,gpt-4o
42,2024-12-15T13:37:00,destek_3,support,"Haklısınız, özür dileriz. Bu durumu telafi etmek için %10 indirim uygulayacağız.",Nötr,Genel Bilgi,Evet,2025-08-15T20:58:15.598443,openai,gpt-4o
43,2024-12-15T14:00:00,müşteri_11,customer,"Hizmetiniz çok güzeldi, çok teşekkür ederim!",Pozitif,Genel Bilgi,Evet,2025-08-15T20:58:43.630214,openai,gpt-4o
44,2024-12-15T14:02:00,destek_1,support,Çok teşekkür ederiz! Memnuniyetiniz bizim için en önemli şey.,Pozitif,Genel Bilgi,Hayır,2025-08-15T20:59:12.586251,openai,gpt-4o
45,2024-12-15T14:05:00,müşteri_11,customer,Kesinlikle tavsiye edeceğim arkadaşlarıma!,Nötr,Genel Bilgi,Hayır,2025-08-15T20:59:41.507262,openai,gpt-4o
