message_id,timestamp,sender,user_type,message,llm_sentiment,llm_topic,llm_bot_response,analysis_timestamp,provider_used,model_used
31,2024-12-15T12:30:00,müşteri_8,customer,Nikah şekeri siparişi vermek istiyorum.,Nötr,Genel Bilgi,Evet,2025-08-11T20:35:58.886485,openai,gpt-4o
32,2024-12-15T12:32:00,destek_2,support,"Nikah şekerimiz çok lezzetli! Hangi çeşidi tercih edersiniz? Lokum, çikolata, badem şekeri?",Nötr,Genel Bilgi,Evet,2025-08-11T20:36:27.499580,openai,gpt-4o
33,2024-12-15T12:35:00,müşteri_8,customer,Karışık olsun. 200 kutu istiyorum.,Nötr,Genel Bilgi,Evet,2025-08-11T20:36:56.344167,openai,gpt-4o
34,2024-12-15T12:37:00,destek_2,support,200 kutu karışık nikah şekeri 600 TL. Özel ambalaj +100 TL.,Nötr,Genel Bilgi,Evet,2025-08-11T20:37:24.861439,openai,gpt-4o
35,2024-12-15T13:00:00,müşteri_9,customer,Düğün arabası kiralayabilir miyim?,Nötr,Genel Bilgi,Evet,2025-08-11T20:37:52.556399,openai,gpt-4o
36,2024-12-15T13:02:00,destek_1,support,Düğün arabası kiralama hizmetimiz var. Hangi model araba istiyorsunuz?,Nötr,Genel Bilgi,Evet,2025-08-11T20:38:20.384631,openai,gpt-4o
37,2024-12-15T13:05:00,müşteri_9,customer,Beyaz BMW veya Mercedes olsun.,Nötr,Genel Bilgi,Evet,2025-08-11T20:38:47.738370,openai,gpt-4o
38,2024-12-15T13:07:00,destek_1,support,"BMW 3.20i günlük 400 TL, Mercedes E-Class 500 TL. Süsleme dahil.",Nötr,Genel Bilgi,Evet,2025-08-11T20:39:15.576572,openai,gpt-4o
39,2024-12-15T13:30:00,müşteri_10,customer,Geç kaldınız randevuya! Çok memnun değilim.,Negatif,Rezervasyon,Evet,2025-08-11T20:39:43.947512,openai,gpt-4o
40,2024-12-15T13:32:00,destek_3,support,"Çok özür dileriz! Trafikte kaldık. Hemen geliyoruz, lütfen bekleyin.",Nötr,Genel Bilgi,Evet,2025-08-11T20:40:12.293177,openai,gpt-4o
41,2024-12-15T13:35:00,müşteri_10,customer,Bu kadar gecikmek olmaz! Profesyonel değil.,Nötr,Genel Bilgi,Evet,2025-08-11T20:40:41.461161,openai,gpt-4o
42,2024-12-15T13:37:00,destek_3,support,"Haklısınız, özür dileriz. Bu durumu telafi etmek için %10 indirim uygulayacağız.",Nötr,Genel Bilgi,Evet,2025-08-11T20:41:09.161298,openai,gpt-4o
43,2024-12-15T14:00:00,müşteri_11,customer,"Hizmetiniz çok güzeldi, çok teşekkür ederim!",Pozitif,Genel Bilgi,Evet,2025-08-11T20:41:37.167427,openai,gpt-4o
44,2024-12-15T14:02:00,destek_1,support,Çok teşekkür ederiz! Memnuniyetiniz bizim için en önemli şey.,Pozitif,Genel Bilgi,Hayır,2025-08-11T20:42:07.586755,openai,gpt-4o
45,2024-12-15T14:05:00,müşteri_11,customer,Kesinlikle tavsiye edeceğim arkadaşlarıma!,Nötr,Genel Bilgi,Hayır,2025-08-11T20:42:35.257375,openai,gpt-4o
