message_id,timestamp,sender,user_type,message,llm_sentiment,llm_topic,llm_bot_response,analysis_timestamp,provider_used,model_used,manual_sentiment,manual_topic,manual_bot_response,labeled_at,comment,sentiment_correct,topic_correct,bot_response_correct,overall_correct
35,2024-12-15T13:00:00,müşteri_9,customer,Düğün arabası kiralayabilir miyim?,Nötr,Düğün Arabası,Evet,2025-08-07T21:54:10.701522,groq,llama3-8b-8192,Nötr,Düğün Arabası,Evet,2025-08-08T14:19:03.002334,,True,True,True,True
36,2024-12-15T13:02:00,destek_1,support,Düğün arabası kiralama hizmetimiz var. Hangi model araba istiyorsunuz?,Nötr,Düğün Arabası,Hayır,2025-08-07T21:54:20.326719,groq,llama3-8b-8192,Nötr,Düğün Arabası,Hayır,2025-08-08T14:19:03.246005,,True,True,True,True
37,2024-12-15T13:05:00,müşteri_9,customer,Beyaz BMW veya Mercedes olsun.,Pozitif,Düğün Arabası,Hayır,2025-08-07T21:54:30.874606,groq,llama3-8b-8192,Pozitif,Düğün Arabası,Hayır,2025-08-08T14:19:03.469360,,True,True,True,True
38,2024-12-15T13:07:00,destek_1,support,"BMW 3.20i günlük 400 TL, Mercedes E-Class 500 TL. Süsleme dahil.",Pozitif,Fiyat Sorgusu,Hayır,2025-08-07T21:54:39.592516,groq,llama3-8b-8192,Pozitif,Fiyat Sorgusu,Hayır,2025-08-08T14:19:03.735154,,True,True,True,True
39,2024-12-15T13:30:00,müşteri_10,customer,Geç kaldınız randevuya! Çok memnun değilim.,Negatif,Şikayet,Hayır,2025-08-07T21:54:49.203567,groq,llama3-8b-8192,Negatif,Şikayet,Hayır,2025-08-08T14:19:03.964807,,True,True,True,True
40,2024-12-15T13:32:00,destek_3,support,"Çok özür dileriz! Trafikte kaldık. Hemen geliyoruz, lütfen bekleyin.",Nötr,Düğün Organizasyonu,Hayır,2025-08-07T21:54:58.805445,groq,llama3-8b-8192,Nötr,Düğün Organizasyonu,Hayır,2025-08-08T14:19:04.222381,,True,True,True,True
41,2024-12-15T13:35:00,müşteri_10,customer,Bu kadar gecikmek olmaz! Profesyonel değil.,Negatif,Düğün Organizasyonu,Evet,2025-08-07T21:55:08.660388,groq,llama3-8b-8192,Negatif,Düğün Organizasyonu,Evet,2025-08-08T14:19:04.502677,,True,True,True,True
42,2024-12-15T13:37:00,destek_3,support,"Haklısınız, özür dileriz. Bu durumu telafi etmek için %10 indirim uygulayacağız.",Pozitif,Düğün Organizasyonu,Hayır,2025-08-07T21:55:18.306397,groq,llama3-8b-8192,Pozitif,Düğün Organizasyonu,Hayır,2025-08-08T14:19:04.772321,,True,True,True,True
43,2024-12-15T14:00:00,müşteri_11,customer,"Hizmetiniz çok güzeldi, çok teşekkür ederim!",Pozitif,Düğün Organizasyonu,Evet,2025-08-07T21:55:27.892143,groq,llama3-8b-8192,Pozitif,Düğün Organizasyonu,Evet,2025-08-08T14:19:05.032271,,True,True,True,True
44,2024-12-15T14:02:00,destek_1,support,Çok teşekkür ederiz! Memnuniyetiniz bizim için en önemli şey.,Pozitif,Düğün Organizasyonu,Hayır,2025-08-07T21:55:36.713410,groq,llama3-8b-8192,Pozitif,Düğün Organizasyonu,Hayır,2025-08-08T14:19:05.256398,,True,True,True,True
45,2024-12-15T14:05:00,müşteri_11,customer,Kesinlikle tavsiye edeceğim arkadaşlarıma!,Pozitif,Düğün Organizasyonu,Evet,2025-08-07T21:55:46.298522,groq,llama3-8b-8192,Pozitif,Düğün Organizasyonu,Evet,2025-08-08T14:19:09.509781,,True,True,True,True
